"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamCreate",4,284523301,71130825,77.39927677020167
"hipMemcpy",4,39508549,9877137,10.747566572201672
"hipEventSynchronize",16,18648869,1165554,5.073078261461032
"hipHostMalloc",1,16555312,16555312,4.503564983962565
"hipHostFree",1,3756281,3756281,1.0218264434716715
"hipMemcpyAsync",16,2656686,166042,0.7227020573809524
"hipEventRecord",32,729146,22785,0.1983506196558765
"hipStreamDestroy",4,644522,161130,0.17533023301484865
"hipLaunchKernel",13,472378,36336,0.1285016567488591
"hipFree",1,41932,41932,0.01140682138201432
"hipMalloc",1,41601,41601,0.011316778982952823
"hipEventElapsedTime",16,13354,834,0.003632707544009807
"hipEventDestroy",10,4821,482,0.0013114634618594638
"hipEventCreate",10,3075,307,0.0008364966075954887
"__hipPushCallConfiguration",13,2487,191,0.0006765421343382051
"__hipPopCallConfiguration",13,2285,175,0.0006215917880831518
